Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
4.875,0.861402445,6683.9,0.0534712
4.7917,0.834938535,7083.6,0.0566688
4.7083,0.840015327,8975.6,0.0718048
4.625,0.874274844,9793.4,0.0783472
4.5417,0.84753903,9759.7,0.0780776
4.4583,0.852592503,12186,0.097488
4.375,0.861364956,9775.1,0.0782008
4.2917,0.967643184,10261,0.082088
4.2083,0.920046508,5669.9,0.0453592
4.125,0.94388022,5021.2,0.0401696
4.0417,0.871412969,6093.9,0.0487512
3.9583,0.96384825,6174.9,0.0493992
3.875,0.968208041,4952.3,0.0396184
3.7917,0.944506831,5997.1,0.0479768
3.7083,1.000535976,5445.3,0.0435624
3.625,1.050860026,5464.7,0.0437176
3.5417,1.143962889,6347.6,0.0507808
3.4583,1.068202148,6283.7,0.0502696
3.375,1.079249578,5944.7,0.0475576
3.2917,1.049746479,6127.7,0.0490216
3.2083,1.04132613,6378.2,0.0510256
3.125,1.081414059,6073,0.048584
3.0417,1.128245841,6153.4,0.0492272
2.9583,1.131056163,5863.5,0.046908
2.875,1.085470888,5459,0.043672
2.7917,1.06020391,4992.7,0.0399416
2.7083,1.106984178,4926.8,0.0394144
2.625,1.114336829,4983.7,0.0398696
2.5417,1.150666975,5156.1,0.0412488
2.4583,1.176327724,4980.5,0.039844
2.375,1.136844819,5162.3,0.0412984
2.2917,1.098090738,5357.1,0.0428568
2.2083,1.127250842,5339.3,0.0427144
2.125,1.113527936,4879,0.039032
2.0417,1.128030343,4607.2,0.0368576
1.9583,1.091682576,4661,0.037288
1.875,1.09173389,5110.3,0.0408824
1.7917,1.048704115,4748.2,0.0379856
1.7083,0.939044816,5918.4,0.0473472
1.625,0.87349014,5332.8,0.0426624
1.5417,0.866077394,6046.9,0.0483752
1.4583,0.912460835,6685.4,0.0534832
1.375,0.91938965,4936.3,0.0394904
1.2917,0.894124237,4992.9,0.0399432
1.2083,0.896889518,4614.2,0.0369136
1.125,0.83950604,4998.3,0.0399864
1.0417,0.841251594,5027.5,0.04022
0.95833,0.788279159,4799.7,0.0383976
0.875,0.757150254,4916,0.039328
0.79167,0.806653937,5787,0.046296
0.70833,0.833513296,5861.9,0.0468952
0.625,0.811497505,6006.8,0.0480544
0.54167,0.782630044,6574.3,0.0525944
0.45833,0.782334965,6147.6,0.0491808
0.375,0.804268009,6288.2,0.0503056
0.29167,0.763509794,5396,0.043168
0.20833,0.788853719,5217.8,0.0417424
0.125,0.826643277,5473.3,0.0437864
0.041667,0.895598911,5493.9,0.0439512
-0.041667,0.9222725,6168.6,0.0493488
-0.125,0.907681099,6133.4,0.0490672
-0.20833,0.882693196,5570.8,0.0445664
-0.29167,0.824175263,5194.1,0.0415528
-0.375,0.863570264,5376.2,0.0430096
-0.45833,0.892360137,5563.2,0.0445056
-0.54167,0.871070121,5303.7,0.0424296
-0.625,0.865073288,5256.5,0.042052
-0.70833,0.879918825,6055.4,0.0484432
-0.79167,0.910544175,6197.1,0.0495768
-0.875,0.912676083,6112.5,0.0489
-0.95833,0.885750595,6597.3,0.0527784
-1.0417,0.861873947,6277.3,0.0502184
-1.125,0.78785026,6290.1,0.0503208
-1.2083,0.802172231,6201.5,0.049612
-1.2917,0.772513678,6316.7,0.0505336
-1.375,0.747753325,6034.9,0.0482792
-1.4583,0.751801124,5871.2,0.0469696
-1.5417,0.730553976,5489.4,0.0439152
-1.625,0.686185516,5316.8,0.0425344
-1.7083,0.697798715,4917.1,0.0393368
-1.7917,0.657779099,4618,0.036944
-1.875,0.649151113,4788,0.038304
-1.9583,0.674374546,5367.7,0.0429416
-2.0417,0.685302,5332,0.042656
-2.125,0.664437002,4706.9,0.0376552
-2.2083,0.735503392,6017.9,0.0481432
-2.2917,0.817324763,8310.2,0.0664816
-2.375,0.834777382,7583.7,0.0606696
-2.4583,0.854616168,7511.8,0.0600944
-2.5417,0.792035851,6019.4,0.0481552
-2.625,0.778382933,5694.4,0.0455552
-2.7083,0.736536054,4920.5,0.039364
-2.7917,0.703212776,4344.2,0.0347536
-2.875,0.721750923,4463.5,0.035708
-2.9583,0.687572386,4748.3,0.0379864
-3.0417,0.671139281,4579,0.036632
-3.125,0.683553814,4623.3,0.0369864
-3.2083,0.687136201,4628.3,0.0370264
-3.2917,0.622538523,4395.7,0.0351656
-3.375,0.780819862,5035.1,0.0402808
-3.4583,0.846764143,6676.8,0.0534144
-3.5417,0.830137003,5614.1,0.0449128
-3.625,0.883488357,5230.3,0.0418424
-3.7083,0.80277174,5231.1,0.0418488
-3.7917,0.784277672,4711.3,0.0376904
-3.875,0.894425266,5148.7,0.0411896
-3.9583,1.019956602,6923.5,0.055388
-4.0417,1.043722387,8877.7,0.0710216
-4.125,0.87628976,4478.9,0.0358312
-4.2083,0.877480441,4791.4,0.0383312
-4.2917,0.872302285,4558.1,0.0364648
-4.375,0.894483822,4646.2,0.0371696
-4.4583,0.825603639,3858,0.030864
-4.5417,0.826592847,3547.2,0.0283776
-4.625,0.895080636,3329.1,0.0266328
